Unnamed: 0,id_x,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Emotion_Category
238,57100,Women,Apparel,Topwear,Tops,Pink,Sunny,2012.0,Casual,Elle Women Dark Pink Top,Joy
239,36137,Women,Footwear,Shoes,Sports Shoes,Pink,Sunny,2012.0,Sports,Nike Women Free Run Pink Sports Shoes,Joy
240,41859,Men,Footwear,Sandal,Sandals,Black,Sunny,2016.0,Casual,Estd. 1977 Men Black Sandals,Anger
241,21180,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2011.0,Casual,ADIDAS Men Adi Cells Black Flip Flops,Anger
242,39943,Men,Footwear,Shoes,Casual Shoes,Brown,Sunny,2013.0,Casual,GAS Men Brown Count Casual Shoes,Sadness
246,5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Sunny,2011.0,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,Contentment
247,44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Sunny,2013.0,Casual,Coolers Men Brown Pokar Flip Flops,Sadness
250,8913,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2011.0,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,Joy
251,16530,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Casual,Locomotive Men Check Red Shirt,Joy
252,22705,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2011.0,Casual,Nike Men White Capri II Casual Shoe,Joy
253,7167,Men,Apparel,Topwear,Shirts,Purple,Rainy,2011.0,Casual,Scullers Men Scul Purple White Shirt,Sadness
254,46240,Women,Apparel,Topwear,Tunics,White,Sunny,2012.0,Casual,Fusion Beats Women White Printed Tunic,Joy
256,13042,Women,Footwear,Shoes,Flats,Brown,Rainy,2012.0,Casual,Inc 5 Women Brown Heels,Sadness
257,6889,Women,Apparel,Topwear,Jackets,Cream,Sunny,2011.0,Casual,Forever New Women Stone Cream Jacket,Contentment
259,12190,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,Contentment
260,55657,Women,Footwear,Shoes,Heels,Gold,Rainy,2015.0,Casual,Catwalk Women Golden Wedges,Fear
261,19578,Women,Apparel,Topwear,Tops,Purple,Sunny,2011.0,Casual,United Colors of Benetton Women Solid Purple Top,Sadness
262,27879,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Scullers For Her Women Blue Top,Contentment
263,34452,Women,Footwear,Shoes,Flats,Copper,Rainy,2012.0,Casual,Rocia Women Copper Sandals,Anger
264,6287,Men,Apparel,Topwear,Tshirts,Yellow,Sunny,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt,Joy
265,7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt,Neutral
267,22537,Men,Footwear,Sandal,Sandals,Tan,Sunny,2013.0,Casual,Gas Men Eldorado Tan Casual  Sandals,Anger
269,43500,Men,Apparel,Topwear,Tshirts,White,Sunny,2012.0,Casual,French Connection Men White T-shirt,Joy
270,2627,Women,Footwear,Shoes,Flats,Silver,Rainy,2010.0,Casual,Carlton London Women Wedge Silver Sandal,Neutral
272,13270,Women,Apparel,Topwear,Tops,White,Rainy,2011.0,Casual,Palm Tree Kids Girls Printed White Tops,Joy
276,31120,Women,Apparel,Topwear,Tops,Pink,Sunny,2012.0,Casual,Palm Tree Girls Pink Top,Joy
278,11527,Men,Apparel,Topwear,Tshirts,Olive,Rainy,2011.0,Casual,United Colors of Benetton Men Olive Tshirts,Contentment
280,40385,Women,Apparel,Topwear,Tops,Yellow,Sunny,2012.0,Casual,Tokyo Talkies Women Yellow Top,Joy
281,15187,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts,Joy
283,44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Sunny,2012.0,Casual,Lotto Women Coral Elegant Flip Flops,Joy
284,14055,Men,Apparel,Topwear,Shirts,Green,Rainy,2011.0,Casual,Flying Machine Men Check Green Shirts,Contentment
285,20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt,Neutral
286,7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Rainy,2011.0,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop,Sadness
287,22153,Men,Footwear,Sandal,Sandals,Brown,Sunny,2011.0,Casual,Lee Cooper Men Brown Casual Sandals,Sadness
288,43958,Men,Footwear,Sandal,Sandals,Olive,Rainy,2012.0,Casual,Puma Men Olive Techno Ind Sandal,Contentment
289,28469,Women,Apparel,Topwear,Tshirts,Pink,Sunny,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt,Joy
291,34036,Men,Apparel,Topwear,Shirts,Blue,Sunny,2012.0,Casual,Palm Tree Boys Check Blue Shirt,Contentment
293,8779,Men,Apparel,Topwear,Shirts,Navy Blue,Rainy,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,Neutral
296,2243,Men,Apparel,Topwear,Tshirts,White,Rainy,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,Joy
300,33213,Women,Apparel,Topwear,Tops,Magenta,Sunny,2012.0,Casual,Sepia Women Printed Magenta Top,Joy
301,39729,Women,Apparel,Topwear,Tops,Olive,Sunny,2012.0,Casual,Arrow Woman Olive Top,Contentment
303,11143,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,Scullers Men Price Catch Black Shirts,Anger
305,4988,Women,Apparel,Dress,Dresses,White,Sunny,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,Joy
306,44341,Men,Apparel,Topwear,Tshirts,Blue,Sunny,2012.0,Casual,Indian Terrain Men Blue T-shirt,Contentment
307,14431,Women,Footwear,Shoes,Heels,Black,Sunny,2012.0,Casual,Enroute Women Casual Black Flats,Anger
314,11371,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts,Anger
315,41401,Women,Apparel,Topwear,Tops,White,Sunny,2012.0,Casual,Wrangler Women White Smocked Top,Joy
321,4386,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2011.0,Casual,Wrangler Cowboy Photo T-shirt,Sadness
323,16154,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Enroute Men Leather Black Formal Shoes,Anger
324,22361,Men,Footwear,Sandal,Sports Sandals,Navy Blue,Sunny,2012.0,Casual,Reebok Men Navy Twist Sandals,Neutral
325,29789,Men,Apparel,Topwear,Tshirts,Pink,Sunny,2013.0,Casual,Basics Men Pack of 3 T-shirt,Joy
327,7503,Men,Apparel,Topwear,Tshirts,Blue,Sunny,2011.0,Sports,Nike Men's As Icon Blue T-shirt,Contentment
329,34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Rainy,2013.0,Casual,Proline Men Navy Track Pants,Neutral
331,50741,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2018.0,Casual,Red Chief Men Black Shoes,Anger
333,13426,Men,Apparel,Topwear,Tshirts,Red,Sunny,2011.0,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,Joy
334,43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Sunny,2012.0,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,Sadness
336,13846,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,John Miller Men Stripes Blue Shirts,Contentment
337,12994,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,Anger
338,46278,Women,Apparel,Topwear,Tunics,Red,Sunny,2012.0,Casual,109F Women Red & White Striped Tunic,Joy
339,16508,Men,Apparel,Bottomwear,Jeans,Blue,Rainy,2011.0,Casual,Locomotive Men Washed Blue Jeans,Contentment
340,18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Rainy,2011.0,Casual,Puma Men Danny Blue Slipper,Contentment
341,19540,Men,Apparel,Topwear,Sweaters,Blue,Sunny,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweater,Contentment
342,7963,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Sports,Puma Men's Large Logo Graphic White French T-shirt,Joy
347,57138,Women,Apparel,Bottomwear,Trousers,Brown,Sunny,2012.0,Casual,Elle Women Brown Trousers,Sadness
348,20856,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2011.0,Casual,United Colors of Benetton Men Casual Black Shoes,Anger
349,41861,Men,Footwear,Sandal,Sandals,Black,Sunny,2016.0,Casual,Estd. 1977 Men Black Sandals,Anger
350,5608,Men,Footwear,Sandal,Sandals,Black,Sunny,2011.0,Casual,ADIDAS Men Kendall Black Navy Floater,Anger
353,15983,Men,Apparel,Topwear,Shirts,Burgundy,Rainy,2011.0,Casual,Turtle Solid Men  Burgundy Shirt,Sadness
358,20258,Men,Apparel,Topwear,Tshirts,Brown,Rainy,2011.0,Casual,Wrangler Men Polo Charcoal T-shirt,Sadness
359,47198,Men,Footwear,Sandal,Sandals,Brown,Sunny,2012.0,Casual,Franco Leone Men Brown Sandals,Sadness
363,26993,Women,Apparel,Bottomwear,Jeans,Blue,Sunny,2012.0,Casual,Jealous 21 Women Washed Blue Jeans,Contentment
364,13248,Men,Apparel,Bottomwear,Trousers,Brown,Rainy,2011.0,Casual,Palm Tree Kids Boy Solid Brown Trousers,Sadness
365,43538,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,French Connection Women Blue Top,Contentment
366,8325,Men,Apparel,Topwear,Tshirts,Yellow,Rainy,2011.0,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,Joy
367,31118,Women,Apparel,Topwear,Tops,Red,Sunny,2012.0,Casual,Gini and Jony Girls Red Top,Joy
368,19772,Men,Footwear,Shoes,Casual Shoes,Blue,Rainy,2011.0,Casual,ADIDAS Men Vigor Blue Casual Shoes,Contentment
